"","delta","z","dKg","dKn"
"delta",1,0.964502611227998,0.74152564401384,0.668231804539816
"z",0.964502611227998,1,0.73648668844876,0.64989339520131
"dKg",0.74152564401384,0.73648668844876,1,0.944291121520162
"dKn",0.668231804539816,0.64989339520131,0.944291121520162,1
