"","delta","z","dKg","dKn"
"delta",1,0.939022759785388,0.549670524951648,0.524383990554891
"z",0.939022759785388,1,0.323729987454364,0.290995114245406
"dKg",0.549670524951648,0.323729987454364,1,0.981301329688902
"dKn",0.524383990554891,0.290995114245406,0.981301329688902,1
