"","delta","z","dKg","dKn"
"delta",1,0.964590416710389,0.849975637858459,0.825889885205971
"z",0.964590416710389,1,0.733080297665191,0.73849294894005
"dKg",0.849975637858459,0.733080297665191,1,0.931625524309023
"dKn",0.825889885205971,0.73849294894005,0.931625524309023,1
