"","delta","z","dKg","dKn"
"delta",1,0.99624173748537,0.803513149869573,0.789563296985145
"z",0.99624173748537,1,0.798399460950308,0.802985722718555
"dKg",0.803513149869573,0.798399460950308,1,0.88884254901931
"dKn",0.789563296985145,0.802985722718555,0.88884254901931,1
