"","delta","z","dKg","dKn"
"delta",1,0.995596425500765,0.818710992214742,0.814001990546798
"z",0.995596425500765,1,0.8303069609437,0.845468568084363
"dKg",0.818710992214742,0.8303069609437,1,0.888249445138642
"dKn",0.814001990546798,0.845468568084363,0.888249445138642,1
