"","delta","z","dKg","dKn"
"delta",1,0.649350057572443,0.432432452418478,0.286153958311558
"z",0.649350057572443,1,0.760582256633442,0.664036162788695
"dKg",0.432432452418478,0.760582256633442,1,0.858612964686373
"dKn",0.286153958311558,0.664036162788695,0.858612964686373,1
